,KHa,KHb,KHc,KHd,KHe,KHf,KHg,KHh,KHi,KHj,KHk,KHl,KLa,KLb,KLc,KLd,KLe,KLf,KLg,NTa,NTb,NTc,NTd,NTe,NTf,NTg,NTh,NTi,NTj,NTk,NTl,TCa,TCb,TCc,TCd,TCe,TCf,TCg,TCh,TCi,TCj,TCk,TCl,TNa,TNb,TNc,TNd,TNe,TNf,TNg,TNh,TNi,TNj,TNk,TNl,TPa,TPb,TPc,TPd,TPe,TPf,TPg,TPh,TPi,TPj,TPk,TPl,TYa,TYb,TYc,TYd,TYe,TYf,TYg,TYh,TYi,TYj,TYk,TYl
TPh,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,5,4,4,4,4,5,5,4,3,7,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,8,2,2,2,2,2,8,2,2,7,4,6,3,6,3,3,7,3,6,3,5,7,6
TPi,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,5,3,6,4,3,2,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TPc,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,5,3,5,4,3,2,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TPd,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,3,5,3,3,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TPe,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,5,3,6,4,3,2,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TPf,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,4,3,4,4,3,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TPg,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,3,5,3,3,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TPa,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,2,3,4,3,3,4,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TPj,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,2,3,4,3,3,4,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NTj,1,1,1,1,1,1,1,1,1,1,1,1,9,5,4,5,4,4,8,6,7,6,4,4,6,3,4,4,10,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,2,2,2,2,2,4,2,2,4,5,4,3,4,3,3,4,3,4,3,4,4,4
