,KHa,KHb,KHc,KHd,KHe,KHf,KHg,KHh,KHi,KHj,KHk,KHl,KLa,KLb,KLc,KLd,KLe,KLf,KLg,NTa,NTb,NTc,NTd,NTe,NTf,NTg,NTh,NTi,NTj,NTk,NTl,TCa,TCb,TCc,TCd,TCe,TCf,TCg,TCh,TCi,TCj,TCk,TCl,TNa,TNb,TNc,TNd,TNe,TNf,TNg,TNh,TNi,TNj,TNk,TNl,TPa,TPb,TPc,TPd,TPe,TPf,TPg,TPh,TPi,TPj,TPk,TPl,TYa,TYb,TYc,TYd,TYe,TYf,TYg,TYh,TYi,TYj,TYk,TYl
TPh,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,5,3,4,3,4,4,6,3,4,2,2,2,4,2,2,2,2,2,2,1,2,2,2
TPi,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,4,3,4,3,3,3,4,3,2,2,2,3,2,2,2,2,2,2,1,2,2,2
TPj,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,4,3,5,3,5,5,4,3,7,2,2,2,7,2,2,2,2,2,2,1,2,2,2
NTh,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,5,3,4,3,4,4,6,3,4,2,2,2,4,2,2,2,2,2,2,1,2,2,2
NTg,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,4,3,5,3,5,5,4,3,6,2,2,2,6,2,2,2,2,2,2,1,2,2,2
NTa,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,3,3,5,8,5,8,4,6,6,2,2,4,5,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,3,3,3,3,3,1,5,3,3
NTb,1,1,1,1,1,1,1,1,1,1,1,1,7,6,3,3,3,3,7,5,9,5,4,5,5,2,2,4,9,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,3,3,3,3,3,1,8,3,3
NTj,1,1,1,1,1,1,1,1,1,1,1,1,7,6,3,3,3,3,7,5,9,5,4,5,5,2,2,4,9,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,3,3,3,3,3,1,8,3,3
NTk,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,3,3,5,6,5,6,4,7,7,2,2,4,5,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,3,3,3,3,3,1,5,3,3
NTl,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,3,3,5,7,5,7,4,6,6,2,2,4,5,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,3,3,3,3,3,1,5,3,3
